"JourJ"	"Annee"	"Mois"	"Jour"	"Tmin"	"Tmax"	"ETP"	"RAD"	"Pluie"
91	2006	4	1	2.4	21.7	2.8	20.3	0
92	2006	4	2	6.3	22	3	20.1	0
93	2006	4	3	5.3	22.2	3.7	20.3	0
94	2006	4	4	8.9	16.8	3.9	14.9	0
95	2006	4	5	5	18.8	3.5	21.5	0
96	2006	4	6	2.4	22.1	3.1	21.5	0
97	2006	4	7	3.3	23	4	19.8	0
98	2006	4	8	12	19.5	5.3	16.6	0
99	2006	4	9	10.2	18.1	4.9	21.9	0
100	2006	4	10	4.8	22.4	3.5	22.3	0
101	2006	4	11	3.7	24.1	3.7	21.5	0
102	2006	4	12	9.5	20.2	4.5	21	0
103	2006	4	13	1.2	19.6	3.3	23.1	0
104	2006	4	14	1.9	23.3	3.5	22.9	0
105	2006	4	15	4	23.5	3.8	22.6	0
106	2006	4	16	3.8	22.9	3.8	23.3	0
107	2006	4	17	2.7	17.4	4.2	22.5	0
108	2006	4	18	9.1	16.1	4.7	18.9	0
109	2006	4	19	10.5	14	1.3	4.8	7.5
110	2006	4	20	8.4	19.6	3	15.2	0
111	2006	4	21	0.1	16.5	4.1	24.9	0
112	2006	4	22	4.1	17.2	4.6	24.3	0
113	2006	4	23	0.3	18.6	3.3	23.3	0
114	2006	4	24	0.4	23.3	4.2	24.4	0
115	2006	4	25	11.4	23.7	4.9	22.1	0
116	2006	4	26	10.2	24.9	3.1	14.4	12
117	2006	4	27	11.5	19.4	3.6	15.4	2
118	2006	4	28	11.7	18.5	1.4	6.1	7.5
119	2006	4	29	12.4	18.8	4.2	16.7	0
120	2006	4	30	9.2	19.9	3.8	20.5	0
121	2006	5	1	4.8	24.4	4	25.5	0
122	2006	5	2	11.4	25.2	6.3	25.6	0
123	2006	5	3	9.4	26.8	3.7	18.2	0.5
124	2006	5	4	13.3	29.2	4.5	20.4	15.5
125	2006	5	5	14.5	22.9	4	18.7	7
126	2006	5	6	8.4	14.5	3.1	13.6	1.5
127	2006	5	7	4.7	14.2	2.2	11.3	9
128	2006	5	8	3.6	13.4	2.7	16.7	0
129	2006	5	9	7.4	18.3	2.9	15.4	0
130	2006	5	10	8.1	21.5	4.3	23.1	0
131	2006	5	11	12.7	21.1	4.4	20.5	26.5
132	2006	5	12	11.1	17.7	1.8	9.2	0
133	2006	5	13	13.9	19.8	3.2	13.5	0
134	2006	5	14	13.7	20.5	2.3	10.9	0
135	2006	5	15	13	24	3.3	15.8	0.5
136	2006	5	16	11.6	23.2	4.4	21.1	0
137	2006	5	17	13.5	22.3	2.4	9.4	6
138	2006	5	18	10	23.4	4.5	25.1	5
139	2006	5	19	14.4	23.7	3.9	16.3	1
140	2006	5	20	13.7	22.2	3.7	17.6	4.5
141	2006	5	21	12.4	20.5	3.7	17.9	1.5
142	2006	5	22	9.6	21.5	4.1	24.5	0
143	2006	5	23	9.8	25.6	4.9	23.2	0
144	2006	5	24	16.6	23.4	4.9	18.3	0
145	2006	5	25	14.8	22.9	4.5	14.4	0
146	2006	5	26	14.8	28.3	6.4	25.4	0
147	2006	5	27	12.5	30.8	5.2	25.8	0
148	2006	5	28	16.8	30.7	5.6	23.8	0
149	2006	5	29	15.6	26.9	6.6	24.3	0
150	2006	5	30	10.6	29.6	5.4	25.5	0
151	2006	5	31	14.6	26.2	4.6	17.5	7
152	2006	6	1	14	18.8	1.6	6.7	9
153	2006	6	2	12.6	23.3	3.7	19	0.5
154	2006	6	3	15.6	24.7	4.1	19.9	0
155	2006	6	4	11.6	22.6	2.8	10.9	2
156	2006	6	5	16.2	24.8	4.4	18.2	0
157	2006	6	6	15.6	27.2	6.4	27	0
158	2006	6	7	17	25.5	4.9	19.6	1
159	2006	6	8	13.8	27.1	4.6	21.8	0
160	2006	6	9	13.3	29.6	5.5	23.1	0
161	2006	6	10	18	26.5	5	14.1	0
162	2006	6	11	18.2	29.7	5.6	21.6	0
163	2006	6	12	16.4	31.5	5.1	22.4	0
164	2006	6	13	18.8	31.8	5.2	19.1	12.5
165	2006	6	14	15.6	24	2.8	11.5	5
166	2006	6	15	12.4	28.4	5.2	27	1
167	2006	6	16	17.6	23.4	3.2	12.7	0
168	2006	6	17	14.2	22.1	3.4	15.2	0
169	2006	6	18	15.6	24.1	4.3	17.6	0
170	2006	6	19	15.1	23.9	5	18.4	0
171	2006	6	20	10.9	25.5	5	26.5	0
172	2006	6	21	14.6	22.7	2.4	8.9	10.5
173	2006	6	22	12.6	20.5	4.7	22.1	0
174	2006	6	23	12.4	19.9	3.3	13.8	0
175	2006	6	24	12.6	22.7	4.2	20.3	0
176	2006	6	25	9	25.1	4.1	21.7	0
177	2006	6	26	16.9	22	3.2	7.5	0
178	2006	6	27	12.2	21.1	4.7	20.4	0
179	2006	6	28	7.6	18.5	1.8	9.1	19.5
180	2006	6	29	10.6	15.4	1.8	8.3	4
181	2006	6	30	10.9	20.6	3.3	16.1	0
182	2006	7	1	13.1	24.6	4.4	21.7	0.5
183	2006	7	2	14.1	22.8	2.6	9.8	2
184	2006	7	3	12.3	21.6	3.8	19.6	0
185	2006	7	4	11.6	21.7	3.2	15.5	2
186	2006	7	5	13.1	20.6	3.2	13.1	0.5
187	2006	7	6	12.6	23.9	4.8	22.9	0
188	2006	7	7	9.5	26.3	4.8	26.4	0
189	2006	7	8	10.4	28.7	5.1	27.4	0
190	2006	7	9	11.3	27.7	3.1	13.6	0.5
191	2006	7	10	16.1	25.4	2.9	12.1	12.5
192	2006	7	11	16.3	22.9	2.9	11.5	0.5
193	2006	7	12	12	28.6	4.8	25.5	0
194	2006	7	13	13.7	30.7	5	24	0
195	2006	7	14	17.9	28.5	5.2	23.5	0
196	2006	7	15	18.6	29.2	4.7	20.7	0
197	2006	7	16	17.2	29.6	4	14.6	1
198	2006	7	17	17.6	19.6	1	3.4	2.5
199	2006	7	18	15.6	24.7	5	19.3	0.5
200	2006	7	19	12.6	24.8	4.4	20.2	0
201	2006	7	20	10.6	28.2	4.7	25.1	0
202	2006	7	21	11.4	29.8	4.8	24.8	0
203	2006	7	22	15.7	30.2	5.4	20.7	0
204	2006	7	23	17.6	29.7	5.4	23.4	5
205	2006	7	24	18.6	24	2.4	8.1	0
206	2006	7	25	16.8	25.2	4.1	15.5	0
207	2006	7	26	17.9	25.8	3.2	11.9	0
208	2006	7	27	16.5	28	3.9	17.7	0
209	2006	7	28	14.6	31.5	5.1	24.8	0
210	2006	7	29	19.1	31.6	5.3	23.5	0
211	2006	7	30	18.5	29.8	4.6	19.3	0
212	2006	7	31	18.8	28.2	5.5	23.3	0
213	2006	8	1	17.5	28.1	5.9	25	0
214	2006	8	2	15	30.9	5.2	24.7	0
215	2006	8	3	15.4	36.8	5.9	24.6	0
216	2006	8	4	19.9	29.7	5	18.7	1.5
217	2006	8	5	19.8	27.9	2	6.5	6
218	2006	8	6	18.8	28.7	3.6	15.9	0.5
219	2006	8	7	18.7	30.2	4.4	17.7	6
220	2006	8	8	18.9	30.3	4.6	19.1	0
221	2006	8	9	17.4	34.7	5.4	23	0
222	2006	8	10	18.3	34.1	5.7	18.8	34.5
223	2006	8	11	18.5	20.8	0.7	3.7	28.5
224	2006	8	12	16.6	29.9	4.7	23.2	0
225	2006	8	13	15.5	30.6	4.4	22.1	0
226	2006	8	14	17.6	33.6	4.8	22.7	0
227	2006	8	15	19.5	30.8	3	12.6	0
228	2006	8	16	21.1	28.1	3	11.7	1
229	2006	8	17	19.8	30.2	3.9	17	0
230	2006	8	18	19.9	31	4.2	18.2	0
231	2006	8	19	18.7	31.8	4.2	19	0
232	2006	8	20	16.9	33	4.5	21.1	0
233	2006	8	21	21.3	29.6	3.2	12.7	7
234	2006	8	22	17.8	32.8	4.5	21.4	0
235	2006	8	23	19.9	32	5.3	21.5	0
236	2006	8	24	16.6	31.3	5	21.8	0
237	2006	8	25	19.1	26.5	2.2	8.1	24.5
238	2006	8	26	17.7	26.1	2.6	12	3
239	2006	8	27	18.6	27.7	2.8	9	12
240	2006	8	28	14.4	21.5	3.2	14.1	1.5
