Jour	Annee	Mois	JourJ	Tmin	Tmax	ETP	RAD	Pluie
1	2014	4	91	12.0	18.2	4.3	19.44	0.0
2	2014	4	92	12.4	16.1	3.6	10.05	0.0
3	2014	4	93	10.9	14.4	0.8	2.09	19.0
4	2014	4	94	9.5	16.1	1.9	7.61	2.5
5	2014	4	95	4.1	19.0	2.6	19.72	0.0
6	2014	4	96	10.0	21.4	3.1	20.91	0.0
7	2014	4	97	8.9	24.7	3.9	20.87	2.5
8	2014	4	98	11.9	16.1	2.2	8.96	1.5
9	2014	4	99	5.0	20.2	3.2	23.6	0.0
10	2014	4	100	4.5	25.1	3.3	23.35	0.0
11	2014	4	101	10.2	22.0	3.3	18.82	0.0
12	2014	4	102	11.5	18.2	2.7	14.27	0.0
13	2014	4	103	11.5	20.8	3.5	18.5	0.0
14	2014	4	104	6.1	22.5	3.6	24.41	0.0
15	2014	4	105	5.6	23.3	3.8	24.99	0.0
16	2014	4	106	4.0	24.6	4.2	25.45	0.0
17	2014	4	107	10.1	23.8	5.0	25.01	0.0
18	2014	4	108	8.4	21.4	3.9	19.7	0.0
19	2014	4	109	10.6	18.2	4.0	20.43	1.0
20	2014	4	110	8.9	10.3	0.7	2.32	12.0
21	2014	4	111	8.2	18.7	2.9	18.49	5.0
22	2014	4	112	11.7	16.8	1.7	7.74	2.5
23	2014	4	113	6.2	22.8	3.6	22.42	0.0
24	2014	4	114	11.6	21.3	2.9	13.05	6.0
25	2014	4	115	9.8	16.1	2.8	14.03	3.5
26	2014	4	116	5.1	17.4	2.0	11.52	10.5
27	2014	4	117	8.3	15.7	3.4	18.3	2.0
28	2014	4	118	9.2	16.1	3.2	16.68	0.0
29	2014	4	119	8.2	18.6	2.5	13.7	1.5
30	2014	4	120	12.0	18.4	3.2	14.99	1.0
1	2014	5	121	11.6	17.5	2.8	11.46	8.0
2	2014	5	122	9.9	16.6	3.2	16.08	1.5
3	2014	5	123	11.7	16.3	3.6	14.22	0.0
4	2014	5	124	5.8	18.6	4.2	27.49	0.0
5	2014	5	125	4.8	22.4	4.8	27.83	0.0
6	2014	5	126	13.3	20.6	3.7	13.96	0.0
7	2014	5	127	12.9	20.2	2.3	10.02	0.0
8	2014	5	128	11.3	20.9	3.8	22.17	0.0
9	2014	5	129	11.9	20.0	2.4	10.06	0.0
10	2014	5	130	9.4	23.4	4.0	23.09	2.0
11	2014	5	131	13.3	18.6	3.4	13.67	4.0
12	2014	5	132	8.2	17.2	2.5	13	2.0
13	2014	5	133	8.3	16.9	3.6	19.28	1.0
14	2014	5	134	8.0	19.0	4.1	22.33	0.0
15	2014	5	135	5.1	20.6	4.7	29.53	0.0
16	2014	5	136	5.6	21.0	4.9	29.61	0.0
17	2014	5	137	9.2	22.0	4.5	26.53	0.0
18	2014	5	138	6.6	24.0	5.4	28.42	0.0
19	2014	5	139	13.5	23.0	6.5	25.41	0.0
20	2014	5	140	15.2	21.2	6.2	23.18	0.0
21	2014	5	141	16.0	21.9	5.1	18.2	0.5
22	2014	5	142	13.9	25.7	6.7	29.73	0.0
23	2014	5	143	8.5	20.3	3.2	13.33	2.5
24	2014	5	144	5.7	21.0	3.9	24.48	0.0
25	2014	5	145	12.4	22.8	4.5	23.94	9.5
26	2014	5	146	11.5	15.4	2.2	9.91	9.0
27	2014	5	147	9.4	19.7	3.6	20.43	0.5
28	2014	5	148	7.7	21.1	3.8	21.62	10.5
29	2014	5	149	11.6	20.2	2.9	12.01	0.0
30	2014	5	150	10.0	20.0	3.3	17.17	5.0
31	2014	5	151	12.6	21.2	3.4	14.36	7.5
1	2014	6	152	13.7	22.5	4.8	22.59	0.0
2	2014	6	153	13.2	22.7	4.2	18.38	0.0
3	2014	6	154	13.3	21.9	4.4	22.45	0.0
4	2014	6	155	12.4	18.5	2.7	11	0.5
5	2014	6	156	8.6	26.3	5.9	30.28	0.0
6	2014	6	157	15.5	23.9	6.4	23.57	0.0
7	2014	6	158	17.4	27.6	7.1	25.65	0.0
8	2014	6	159	17.2	29.7	7.2	28.93	0.0
9	2014	6	160	18.4	31.0	6.3	20.78	0.0
10	2014	6	161	16.9	25.5	4.2	18.01	0.0
11	2014	6	162	18.1	30.0	5.6	25.02	0.0
12	2014	6	163	17.9	31.8	6.2	28.01	0.0
13	2014	6	164	20.9	31.3	6.7	25.43	0.0
14	2014	6	165	17.8	26.9	7.2	27.81	0.0
15	2014	6	166	15.5	23.7	6.4	27.09	0.0
16	2014	6	167	15.7	25.7	5.4	21.97	0.0
17	2014	6	168	15.4	26.0	5.5	24.14	2.0
18	2014	6	169	13.6	25.6	5.2	24.99	0.0
19	2014	6	170	11.4	27.9	5.6	30.4	0.0
20	2014	6	171	12.2	31.8	5.9	30.47	0.0
21	2014	6	172	15.1	33.2	6.8	29.15	0.0
22	2014	6	173	19.2	30.5	6.4	24.45	0.0
23	2014	6	174	17.8	28.5	4.6	19.1	12.5
24	2014	6	175	17.1	26.0	4.6	19.52	57.5
25	2014	6	176	16.0	28.1	6.0	25.27	0.0
